Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-November-2022,1028.50,1036.70,1020.00,1023.30,1026.812279684083708892,22411,1649,23011890.00,5883,26.25,16.70,-5.20
23-November-2022,1038.55,1046.40,1024.25,1027.70,1037.588130239941792204,60473,3663,62746067.00,21902,36.22,22.15,-10.85
22-November-2022,1036.35,1042.55,1031.90,1039.30,1037.425524118617007354,38207,1798,39636917.00,11342,29.69,10.65,2.95
21-November-2022,1015.05,1044.00,1009.20,1036.15,1032.053742763450872434,49402,2454,50985519.00,14513,29.38,34.80,21.10
18-November-2022,1038.00,1041.15,997.70,1015.60,1016.036583123965929284,97914,4328,99484206.00,,,43.45,-22.40
17-November-2022,1049.00,1049.35,1031.65,1035.00,1039.716621450533550370,27645,1733,28742966.00,9436,34.13,17.70,-14.00
16-November-2022,1057.00,1063.60,1038.00,1049.15,1050.710228196650224944,36898,2064,38769106.00,13911,37.70,25.60,-7.85
15-November-2022,1070.00,1073.05,1053.70,1057.10,1062.304705150453488752,30541,1847,32443848.00,9567,31.33,19.35,-12.90
14-November-2022,1070.00,1073.05,1057.00,1065.35,1065.690467050543825975,31260,1777,33313484.00,10388,33.23,16.05,-4.65
11-November-2022,1080.05,1090.00,1063.15,1066.25,1075.358725306926691254,79172,5823,85138301.00,28877,36.47,26.85,-13.80
10-November-2022,1111.00,1116.75,1066.60,1070.55,1085.071397692448099295,104093,8298,112948337.00,42112,40.46,50.15,-40.45
9-November-2022,1125.05,1136.00,1107.80,1112.05,1123.473376549528033663,43965,2507,49393507.00,10125,23.03,28.20,-13.00
7-November-2022,1123.20,1145.00,1120.70,1122.25,1131.277814064881341171,45930,2043,51959590.00,15138,32.96,24.30,-0.95
4-November-2022,1138.95,1140.00,1108.90,1123.20,1122.107029128032218788,42708,2413,47922947.00,9848,23.06,31.10,-15.75
3-November-2022,1130.10,1141.50,1125.05,1130.25,1132.702452924640918017,103876,4300,117660600.00,67704,65.18,16.45,0.15
2-November-2022,1145.00,1157.45,1130.00,1132.95,1142.942359870293163920,90666,4835,103626012.00,28189,31.09,27.45,-12.05
1-November-2022,1134.10,1150.00,1134.00,1142.95,1143.177007299270072992,54800,2465,62646100.00,13181,24.05,16.00,8.85
31-October-2022,1144.00,1149.00,1125.00,1132.50,1137.400696771093343299,149834,6059,170421296.00,96520,64.42,24.00,-11.50
28-October-2022,1189.95,1189.95,1125.15,1131.75,1140.352188531927216927,265886,10007,303203682.00,63092,23.73,64.80,-58.20
27-October-2022,1185.00,1199.85,1173.50,1188.05,1189.022696271597453773,52784,3207,62761374.00,12275,23.26,26.35,3.05
25-October-2022,1156.75,1185.80,1151.00,1180.10,1163.602885287575468700,314700,5445,366185828.00,259243,82.38,34.80,23.35
24-October-2022,1161.95,1161.95,1151.00,1157.10,1156.176380644000719553,11118,1071,12854369.00,,,10.95,-4.85
21-October-2022,1158.70,1168.10,1137.50,1143.30,1152.754937640564301778,48910,3466,56381244.00,17995,36.79,30.60,-15.40
20-October-2022,1158.35,1163.25,1146.60,1158.70,1155.581800271558265221,37561,2364,43404808.00,13780,36.69,16.65,0.35
19-October-2022,1166.05,1171.55,1155.95,1164.25,1163.909360234005850146,26666,1569,31036807.00,6806,25.52,15.60,-1.80
18-October-2022,1173.55,1179.55,1154.00,1166.30,1168.603507225313017476,83941,3870,98093747.00,32840,39.12,25.55,-7.25
17-October-2022,1143.60,1168.00,1130.35,1162.50,1147.005593211078296328,347743,5149,398863166.00,288436,82.95,37.65,18.90
14-October-2022,1169.60,1176.55,1141.00,1143.60,1154.929134946184561393,72377,3473,83590306.00,38930,53.79,35.55,-26.00
13-October-2022,1160.60,1170.50,1138.50,1151.70,1151.486029457077709989,81135,4058,93425819.00,23892,29.45,32.00,-8.90
12-October-2022,1165.55,1173.80,1146.40,1162.95,1157.533699028273488713,125241,6028,144970678.00,54488,43.51,27.40,-2.60
11-October-2022,1210.00,1214.65,1160.75,1165.20,1195.453709207513574172,375161,8367,448487609.00,270023,71.98,53.90,-44.80
10-October-2022,1165.00,1213.95,1160.00,1199.70,1198.643738259162824210,427461,21892,512373451.00,175160,40.98,53.95,34.70
7-October-2022,1147.90,1189.00,1140.00,1182.00,1175.316047164943528197,261635,9356,307503814.00,136742,52.26,49.00,34.10
6-October-2022,1151.65,1154.35,1138.05,1147.65,1146.012835949258224037,93020,6576,106602114.00,39509,42.47,16.30,-4.00
4-October-2022,1116.30,1149.00,1107.15,1141.55,1126.325584554880228816,139850,5427,157516633.00,74872,53.54,41.85,25.25
3-October-2022,1091.05,1131.80,1083.00,1093.70,1104.785387061622967954,269802,10598,298073307.00,149246,55.32,48.80,2.65
30-September-2022,1079.35,1109.60,1050.00,1105.00,1081.529972768532526475,165250,8915,178722828.00,36937,22.35,59.60,25.65
29-September-2022,1079.45,1124.50,1071.90,1093.25,1096.519195254557811068,270744,12048,296875993.00,70273,25.96,52.60,13.80
28-September-2022,1047.05,1066.60,1043.45,1047.15,1056.272241768155164636,55425,3735,58543889.00,14390,25.96,23.15,0.10
27-September-2022,1064.00,1076.60,1035.10,1067.25,1056.472266802610627545,158889,10886,167861822.00,59762,37.61,41.50,3.25
26-September-2022,1126.95,1126.95,1032.00,1063.40,1059.353361740787739039,202529,10904,214549777.00,,,94.95,-63.55
23-September-2022,1152.05,1161.70,1128.00,1134.20,1144.580882078812959027,134115,7731,153505465.00,38043,28.37,33.70,-17.85
22-September-2022,1085.05,1157.00,1085.05,1151.10,1132.503187249037927526,203467,9226,230427026.00,84620,41.59,71.95,66.05
21-September-2022,1111.50,1120.80,1090.65,1097.50,1102.196390684465578588,121131,2982,133510151.00,37175,30.69,30.15,-14.00
20-September-2022,1107.20,1133.85,1107.20,1112.90,1119.706382527565733672,47160,1851,52805353.00,20144,42.71,26.65,5.70
19-September-2022,1113.85,1117.75,1090.00,1102.20,1105.771954928406815520,211752,3798,234149423.00,164746,77.80,27.75,-11.65
16-September-2022,1171.10,1171.10,1091.35,1105.30,1123.302526019585736515,107323,6048,120556197.00,36767,34.26,79.75,-65.80
15-September-2022,1156.00,1176.40,1136.10,1170.05,1155.218192820019727953,120641,6341,139366678.00,40791,33.81,40.30,14.05
14-September-2022,1149.00,1168.70,1142.65,1155.95,1159.418152186696685092,59519,2843,69007409.00,18651,31.34,26.05,6.95
13-September-2022,1174.95,1194.00,1158.10,1160.55,1176.519647092592872358,198579,8264,233632095.00,56026,28.21,35.90,-14.40
12-September-2022,1116.00,1163.60,1116.00,1159.20,1150.057267262290389164,132746,5552,152665502.00,41812,31.50,47.60,43.20
9-September-2022,1120.00,1127.50,1108.85,1112.70,1116.721030042918454935,42173,2930,47095476.00,,,18.65,-7.30
8-September-2022,1127.05,1135.50,1108.40,1117.75,1118.229750099166997223,63025,4369,70476430.00,26662,42.30,27.10,-9.30
7-September-2022,1120.00,1133.50,1111.20,1127.70,1120.507310891603847153,30776,1761,34484733.00,9484,30.82,22.30,7.70
6-September-2022,1129.85,1132.45,1111.40,1119.95,1124.397697062744939598,123755,4510,139149837.00,30363,24.53,21.05,-9.90
5-September-2022,1119.80,1137.65,1115.00,1119.20,1124.861465096855888137,74234,4928,83502966.00,30264,40.77,22.65,-0.60
2-September-2022,1148.90,1161.45,1115.00,1119.80,1139.356985950852121855,82852,3904,94398005.00,,,46.45,-29.10
1-September-2022,1128.95,1144.50,1120.30,1138.45,1138.642317650483354526,65273,3154,74322600.00,16311,24.99,24.20,9.50
